STATE	Posterior	Log-likelihood	Log-prior	Partition
26300	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26500	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
26600	-110.89355376725152	-101.39606406883561	-9.497489698415897	[[0,2,6,7,8,9],[1,3,4,5]]
26700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26900	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27000	-113.46188018815798	-107.61987413022143	-5.84200605793654	[[0,1,2,3,5,6,7,8,9],[4]]
27100	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27200	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27300	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27400	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27500	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27600	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27700	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
27800	-114.40483702861034	-108.5628309706738	-5.84200605793654	[[0,1,2,3,4,5,6,7,8],[9]]
27900	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
28000	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
28100	-113.46188018815798	-107.61987413022143	-5.84200605793654	[[0,1,2,3,5,6,7,8,9],[4]]
28200	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
28300	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
28400	-113.63797174044774	-104.82966882137569	-8.808302919072046	[[0,1,2,6,7,8,9],[3,5],[4]]
28500	-113.63797174044774	-104.82966882137569	-8.808302919072046	[[0,1,2,6,7,8,9],[3,5],[4]]
28600	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
28700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
28800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
28900	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29300	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
29400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29500	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29600	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
29800	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
29900	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
30000	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30100	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
30200	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30300	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30400	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30500	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30600	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
30700	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
30800	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
30900	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31000	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
31200	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31300	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31400	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31500	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31600	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
31700	-114.5798361425747	-104.76389271304028	-9.81594342953443	[[0,1,6,7,8,9],[2],[3,4,5]]
31800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
31900	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32300	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32500	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32600	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
32900	-111.86647578499311	-104.17057847672152	-7.695897308271603	[[0,1,2,4,6,7,8,9],[3,5]]
33000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
33100	-110.60798640680653	-101.11049670839063	-9.497489698415897	[[0,1,6,7,8,9],[2,3,4,5]]
33200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
33300	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
33400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
33500	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
33600	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
33700	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
33800	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
33900	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
34000	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
34100	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
34200	-116.10773327381791	-104.62175473396582	-11.485978539852097	[[0,3,4,5],[1,2],[6,7,8,9]]
34300	-110.12951211184088	-100.42293061556643	-9.706581496274456	[[0,2,3,4,5],[1,6,7,8,9]]
34400	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
34500	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
34600	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
34700	-111.61515361261188	-102.76429107912104	-8.850862533490844	[[0,1,2,3,4,5,9],[6,7,8]]
34800	-111.61515361261188	-102.76429107912104	-8.850862533490844	[[0,1,2,3,4,5,9],[6,7,8]]
34900	-111.61515361261188	-102.76429107912104	-8.850862533490844	[[0,1,2,3,4,5,9],[6,7,8]]
35000	-119.11027556480153	-109.2943321352671	-9.81594342953443	[[0,1,3,4,5,9],[2],[6,7,8]]
35100	-115.08793574910923	-103.60195720925714	-11.485978539852097	[[0,1,2,5],[3,4],[6,7,8,9]]
35200	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
35300	-110.12951211184088	-100.42293061556643	-9.706581496274456	[[0,2,3,4,5],[1,6,7,8,9]]
35400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
35500	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
35600	-112.49453265052144	-104.79863534224984	-7.695897308271603	[[0,1,2,5,6,7,8,9],[3,4]]
35700	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
35800	-114.40483702861034	-108.5628309706738	-5.84200605793654	[[0,1,2,3,4,5,6,7,8],[9]]
35900	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
36000	-116.22760883092766	-106.41166540139324	-9.81594342953443	[[0,2,6,7,8,9],[1,3,5],[4]]
36100	-115.59264876492456	-109.75064270698802	-5.84200605793654	[[0,2,3,4,5,6,7,8,9],[1]]
36200	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
